SL No.,Tender/RFQ ID,Tender Description,Reference No.,Department,Opening Date,Closing Date,Time left (DD:HH:MM),Portal,State,Matched Keywords,URL
56,GEM/2026/B/7563320,GEM/2026/B/7563320 - CCTV Surveillance System,GEM/2026/B/7563320,Ministry of Education,,2026-06-23,Closed,GeM,National,"Security Equipment, Surveillance Equipment",https://bidplus.gem.gov.in/showbidDocument/9355223
57,GEM/2026/R/686297,"GEM/2026/R/686297 - CCTV Camera PTZ 25X, 5 MP,20 ft 4 inch pole for PTZ Camera with L Bracket,POE Switch 4 port Giga un",GEM/2026/R/686297,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,"PTZ Camera, Security Equipment",https://bidplus.gem.gov.in/showbidDocument/9505539
58,GEM/2026/B/7661227,GEM/2026/B/7661227 - Standalone Wind Mill and Solar Panel for PTZ Camera,GEM/2026/B/7661227,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,PTZ Camera,https://bidplus.gem.gov.in/showbidDocument/9464596
59,GEM/2026/B/7613459,"GEM/2026/B/7613459 - PTZ Camera Video Conference Camera,Wired Chairman Unit Microphone,Wired Delegate Units Microphone,D",GEM/2026/B/7613459,Ministry of Civil Aviation,,2026-06-24,00:04:32,GeM,National,PTZ Camera,https://bidplus.gem.gov.in/showbidDocument/9411517
60,GEM/2026/B/7614415,"GEM/2026/B/7614415 - PTZ Camera 2 mp 32 into 180 mtr,Cat 6 Cable 305 Mtr,Media Convertor,Patch Cord,POE Switch,Junction ",GEM/2026/B/7614415,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,PTZ Camera,https://bidplus.gem.gov.in/showbidDocument/9412556
61,GEM/2026/B/7596910,"GEM/2026/B/7596910 - IP Based CCTV Camera,POE Switch,Roll Out Door Cat Six Cable,RJ 45 Connector,2 Core electric Cable 2",GEM/2026/B/7596910,Ministry of Defence,,2026-06-23,Closed,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9392782
62,GEM/2026/B/7662408,GEM/2026/B/7662408 - Training on operation of PTZ series cameras,GEM/2026/B/7662408,Ministry of Defence,,2026-06-23,Closed,GeM,National,Optical Camera,https://bidplus.gem.gov.in/showbidDocument/9465918
63,GEM/2026/B/7662481,GEM/2026/B/7662481 - Training for maintenance and deployment of PTZ series cameras,GEM/2026/B/7662481,Ministry of Defence,,2026-06-23,Closed,GeM,National,Optical Camera,https://bidplus.gem.gov.in/showbidDocument/9466004
64,GEM/2026/B/7697575,"GEM/2026/B/7697575 - CARABINER,HHMD,CORDON LIGHT BTY,ANVD BTY CHARGER,BATTERY WATER,HAMMER 1 KG,WATER BUCKET,CAT 6 UTP C",GEM/2026/B/7697575,Ministry of Defence,,2026-07-02,08:04:32,GeM,National,NVD,https://bidplus.gem.gov.in/showbidDocument/9505536
65,GEM/2026/B/7693197,GEM/2026/B/7693197 - REPAIR OF ANVD FOR INSAS LMG (REPLACEMENT OF 1X CABLE CONNECTOR & REPAIR OF IO EXTERNAL CABLE),GEM/2026/B/7693197,Ministry of Defence,,2026-07-01,07:04:32,GeM,National,NVD,https://bidplus.gem.gov.in/showbidDocument/9500457
66,GEM/2026/B/7425082,"GEM/2026/B/7425082 - Design, Engineering & SITC of CCTV based surveillance monitoring system with night vision facility",GEM/2026/B/7425082,Ministry of Petroleum and Natural Gas,,2026-06-24,00:04:32,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9201492
67,GEM/2026/B/7602298,"GEM/2026/B/7602298 - NVR 32 chanel,NVR 8 Channel,4MP Ip Camera Night vision colour and audio,Cat 6 Double coated black c",GEM/2026/B/7602298,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,Optical Camera,https://bidplus.gem.gov.in/showbidDocument/9398921
68,709864,709864 - SITC of IP based cameras in Trauma Block,647850,Telangana,,2026-07-15,21:04:32,Telangana Tenders,Telangana,Optical Camera,https://tender.telangana.gov.in/login.html
69,2026_DRDO_911236_1,DAY TO DAY MAINTENANCE OPERATION AND UPKEEP OF ACCESS CONTROL AND OPERATION OF INTERNET PROTOCOL (IP) CCTV AT DRDO BHAWAN NEW DELHI,EMU RND/DRDO BWN/MAINT/CCTV/2026/NIT1,Defence Research and Development Organisation | Directorate of Civil Works and Estates - DRDO | Estate Management Unit(R and D)DRDO Bhawan - DRDO,2026-06-22,2026-06-20,Closed,CPPP,National,Security Equipment,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndListTendersbyDate&service=direct&session=T&sp=SEgUx3eF75AZgKurTA%2Bx6fQ%3D%3D
70,GEM/2026/B/7604983,GEM/2026/B/7604983 - Dslr / Compact / Handheld Camcorder Or Video Cameras (V2),GEM/2026/B/7604983,Ministry of Defence,,2026-06-20,Closed,GeM,National,Optical Camera,https://bidplus.gem.gov.in/showbidDocument/9401986
71,GEM/2026/B/7645125,GEM/2026/B/7645125 - Dslr / Compact / Handheld Camcorder Or Video Cameras (V2),GEM/2026/B/7645125,Ministry of Defence,,2026-06-20,Closed,GeM,National,Optical Camera,https://bidplus.gem.gov.in/showbidDocument/9446797
