SL No.,Tender/RFQ ID,Tender Description,Reference No.,Department,Opening Date,Closing Date,Time left (DD:HH:MM),Portal,State,Matched Keywords,URL
1,2026_PWRDW_52718_12,Sivasagar 19 - Construction of Bridge in Sivasagar District i) Br No. 2/1 on Lakhmonighat Road,eCF No. 720769/20,Public Works Roads Department-Externally Aided Project | Public Works Road Department- World Bank Funded Tenders | PWD (R) - ARRBP,2026-06-25,2026-06-25,01:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
2,2026_PCB_52708_1,SUPPLY OF TOTAL CARBON ANALYSER (TOC) TO CENTRAL LABORATORY OF ASSAM POLLUTION CONTROL BOARD,LAB-27/3/2024-LAB-PCBA/10 dated 09-06-2026,Pollution Control Board,2026-06-25,2026-06-25,01:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
3,2026_PWRDW_52718_3,Dibrugarh 17 - Construction of Bridge in Dibrugarh District i) Br. No. 2/1 on Sessa Koch-1 to Sessa Koch 2 Road,eCF No. 720769/20,Public Works Roads Department-Externally Aided Project | Public Works Road Department- World Bank Funded Tenders | PWD (R) - ARRBP,2026-06-25,2026-06-25,01:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
4,2026_PWRDW_52718_2,Dibrugarh 13B - Construction of Bridge in Dibrugarh District i) Br. No. 2/3 on Polungmora to Kachjan connecting Road,eCF No. 720769/20,Public Works Roads Department-Externally Aided Project | Public Works Road Department- World Bank Funded Tenders | PWD (R) - ARRBP,2026-06-25,2026-06-25,01:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
5,2026_UDD_52634_1,Design Supply Testing and Commissioning of Material Recovery Facility and Waste to Compost Plant in Naharkatia by Namrup Municipal Board under S.B.M 2.0 and 15th F.C Tied Grant,NrpMB5/15thFC/26/179,Urban Development Department | Directorate of Municipality Administration - UDD | Namrup Municipal Board,2026-06-25,2026-06-25,01:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
6,2026_APGCL_52318_1,Spares for Gas Compressor,APGCL/CGM (Gen)/2026-27/Gas Compressor 9 Spares-LTPS/48,Assam Power Generation Company Limited,2026-06-29,2026-06-25,01:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
7,2026_AEGCL_52404_1,"Route Survey for Construction of 220kV Transmission Line for Power Import to OIL, Madhuban from 220kV Namrup GSS and preparation of Master Plan for Construction of 1(One) No. of 220/132/33KV Grid Substation (AIS and GIS) at OIL, Madhuban",AEGCL /MD/ CGM(UAR)/ OIL MADHUBAN/ 220KV /2026/ BID (R),Assam Electricity Grid Corporation Ltd | CGM (T and T),2026-06-26,2026-06-25,01:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
8,2026_AEGCL_52567_1,Replacement of tension disc insulator strings at the tension towers of 132KV Nazira-Teok S/C Transmission line from Nazira GSS gantry to Loc. No. 115,AEGCL /MD /CGM(UAR) /132KV NZR-TEOK /Insulators /2026/BID,Assam Electricity Grid Corporation Ltd | CGM (T and T),2026-06-26,2026-06-25,01:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
9,2026_PWD_52799_1,No.GRC/NIT/510./ 2021 -22/Pt.I/1016 Dated.15.06.2026,No.GRC/NIT/510./ 2021 -22/Pt.I/1016 Dated.15.06.2026,Public Works Roads Department,2026-06-25,2026-06-25,01:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
10,2026_BoTC_52615_1,Construction of Market Shed,6th ASFC-08 of 2025-26,Bodoland Territorial Council | Panchayat and Rural Development-BTC,2026-06-25,2026-06-25,01:04:32,Assam Tenders,Assam,,https://assamtenders.gov.in/nicgep/app
11,2026_ZPHZB_115115_5,Construction of new building for building less Anganbari Centre Sirsi in the Premises of Government Primary School Sirsi Ichak Hazaribag,09/2026-27,Zila Parishad Hazaribagh,2026-06-27,2026-06-25,01:04:32,Jharkhand Tenders,Jharkhand,,https://jharkhandtenders.gov.in/nicgep/app
12,2026_ZPHZB_115115_4,Construction of new building for building less Anganbari Centre of Kutumsukri Mokhtar Muhalla in the Premises of Government Middle School Urdu School Ichak Hazaribag,09/2026-27,Zila Parishad Hazaribagh,2026-06-27,2026-06-25,01:04:32,Jharkhand Tenders,Jharkhand,,https://jharkhandtenders.gov.in/nicgep/app
13,2026_RIMS_114712_1,"Providing comprehensive pest control services at RIMS, Ranchi",NIT no. 2721 dated 01-06-2026,Rajendra Institute of Medical Sciences,2026-06-27,2026-06-25,01:04:32,Jharkhand Tenders,Jharkhand,,https://jharkhandtenders.gov.in/nicgep/app
14,2026_ZPHZB_115115_12,Construction of new building for building less Anganbari Centre Pokhariya Harijan Tola in the Premises of Upgraded Middle School Pokhariya Ichak Hazaribag,09/2026-27,Zila Parishad Hazaribagh,2026-06-27,2026-06-25,01:04:32,Jharkhand Tenders,Jharkhand,,https://jharkhandtenders.gov.in/nicgep/app
15,2026_WRD_114980_1,E- Quotation for Non-Scheduled Item Rate,E-Q No WRD/MID/MEDINI/01/2026-27,WRD EinC Major-Med n Minor | WRD Minor CE RAN | WRD SE MED Minor | WRD EE Latehar Minor,2026-06-27,2026-06-25,01:04:32,Jharkhand Tenders,Jharkhand,,https://jharkhandtenders.gov.in/nicgep/app
16,2026_DWSD_115102_1,Implementation of Remaining work for Cluster wise Single Village Water Supply Schemes under Jal Jeevan Mission Cluster 30 Cluster No 30 Population 10470 FHTC 2112 Habitations 54 Villages 35 Blocks BENGABAD District GIRIDIH,DWSD Cluster GIRIDIH-1 SBD15/ 2026-27,DWSD EinC | DWSD CE DUMKA | DWSD SE Dhanbad | DWSD EE Div1 Giridih,2026-06-26,2026-06-25,01:04:32,Jharkhand Tenders,Jharkhand,,https://jharkhandtenders.gov.in/nicgep/app
17,2026_JSEB_115263_1,149/PR/JBVNL/2026-27,149/PR/JBVNL/2026-27,"JSEB | JBVNL | GM (TECHNICAL), ESA, RANCHI, JBVNL.",2026-06-27,2026-06-25,01:04:32,Jharkhand Tenders,Jharkhand,,https://jharkhandtenders.gov.in/nicgep/app
18,2026_UDD_115376_1,RENOVATION OF URBAN HEALTH AND WELLNESS CENTRE AT WARD NO-29 (DHARIYADIH)UNDER MUNICIPAL CORPORATION GIRIDIH.,UDD/GMC/VII/01 /2nd Call/ 2026-27,UDD Secretary | UDD Chairperson eProc Cell,2026-06-26,2026-06-25,01:04:32,Jharkhand Tenders,Jharkhand,,https://jharkhandtenders.gov.in/nicgep/app
19,2026_DWSD_115100_1,Implementation of Remaining work for Cluster wise Single Village Water Supply Schemes under Jal Jeevan Mission Cluster 25 Cluster No 25 Population 10470 FHTC 2278 Habitations 21 Villages 15 Blocks JAMUA District GIRIDIH,DWSD Cluster GIRIDIH-1 SBD16/ 2026-27,DWSD EinC | DWSD CE DUMKA | DWSD SE Dhanbad | DWSD EE Div1 Giridih,2026-06-26,2026-06-25,01:04:32,Jharkhand Tenders,Jharkhand,,https://jharkhandtenders.gov.in/nicgep/app
20,2026_BCD_115334_1,Detailed Estimate For Installation of Medical Gas Pipe Line System With Compressor in Sadar Hospital Gumla For The Year 2026-27,02/BCD/GUMLA/2026-27,"BCD EinC | BCD CE | BCD SE CIRCLE-2 | BCD EE, GUMLA.",2026-06-27,2026-06-25,01:04:32,Jharkhand Tenders,Jharkhand,,https://jharkhandtenders.gov.in/nicgep/app
21,2026_ORULB_131451_58,Construction of shade at Mahima Ashram in ward No- 19,03/VNM/2026-27,Municipal Bodies | Vyasanagar Municipality,2026-06-29,2026-06-25,01:04:32,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
22,2026_ORULB_131451_53,Construction of paver road from Sabar sahi to Hingula main road (completion part) in ward No- 11,03/VNM/2026-27,Municipal Bodies | Vyasanagar Municipality,2026-06-29,2026-06-25,01:04:32,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
23,2026_ORULB_131451_52,Construction of paver road from Kalia Bal house to Bata Krushna house in ward No- 11,03/VNM/2026-27,Municipal Bodies | Vyasanagar Municipality,2026-06-29,2026-06-25,01:04:32,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
24,2026_OSPHW_131097_2,"Construction of Atal Bus Stand (B-Type) at Sunguda Under Badachana (Chandikhol) Block, Jajpur",04/OPHWC/2026-27,Orissa State Police Housing and Welfare Corporation Ltd,2026-06-29,2026-06-25,01:04:32,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
25,2026_OSPHW_131097_3,Construction of Internal Road and Parking Space For Automated Testing Station(ATS) at Sambalpur,04/OPHWC/2026-27,Orissa State Police Housing and Welfare Corporation Ltd,2026-06-29,2026-06-25,01:04:32,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
26,2026_OSPHW_131097_1,"Cluster for 1. Construction of Atal Bus Stand (A-Type) (Part-I) 2. Construction of Atal Bus Stand (A-Type) (Part-II) and 3. Construction of Atal Bus Stand (A-Type) (Part-III) at Sanapalla Under Khurda Municipality Block, Khurda",04/OPHWC/2026-27,Orissa State Police Housing and Welfare Corporation Ltd,2026-06-29,2026-06-25,01:04:32,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
27,2026_OSMCL_125232_1,NAT testing facility with ID methodology,OSMCL/2025-26/ID NAT SERVICES PPP Retender/09,Odisha State Medical Corporation Ltd,2026-07-01,2026-06-25,01:04:32,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
28,2026_WATCO_129837_1,"Design, Drawing, Construction, Testing and Commissioning of Sewerage System, 220 KLD Sewage Treatment Plant (STP) and 55 KLD Effluent Treatment Plant (ETP) for City hospital in Berhampur including Operation and Maintenance for a period of Five Years",WATCO (W)-05(02)/2025-26 Dtd.21.05.2026,WATCO Bhubaneswar,2026-06-30,2026-06-25,01:04:32,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
29,2026_WATCO_129836_1,"Design, Drawing, Const. Testing and Comm. of S/S, 100 KLD Sewage Treatment Plant (STP) and 25 KLD Effluent Treatment Plant (ETP) for Subdivisional Hospital in Hinjilicut including Operation and Maint. for a period of Five Years",WATCO (W)-05(01)/2026-27 Dtd.21.05.2026,WATCO Bhubaneswar,2026-06-30,2026-06-25,01:04:32,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
30,2026_OTDC_131266_1,SUPPLY AND INSTALLATION OF LAPTOP AND LASER PRINTER TO ODISHA TOURISM DEVELOPMENT CORPORATION,3243/HS/VI-80/22-23 dt. 02.06.2026,Odisha Tourism Devl. Corp.,2026-06-25,2026-06-25,01:04:32,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
31,2026_MAD_1026880_1,NIT-04(Sl-1)2026-27 Date-08.06.2026,NIT-04/2026-27 memo no-571/PWD/BM/2026-27 Date-05.06.2026,MUNICIPAL AFFAIRS DEPARTMENT | URBAN LOCAL BODIES | BOLPUR,2026-06-27,2026-06-25,01:04:32,West Bengal Tenders,West Bengal,,https://wbtenders.gov.in/nicgep/app
32,2026_PHED_1028911_8,032/KSD of 2026-2027 s8,NIeT No-03/KSD of 2026-2027,PHE | CENTRAL CIRCLE (PHE) | BURDWAN DIVISION (PHE),2026-06-27,2026-06-25,01:04:32,West Bengal Tenders,West Bengal,,https://wbtenders.gov.in/nicgep/app
33,2026_PHED_1028911_3,032/KSD of 2026-2027 s3,NIeT No-03/KSD of 2026-2027,PHE | CENTRAL CIRCLE (PHE) | BURDWAN DIVISION (PHE),2026-06-27,2026-06-25,01:04:32,West Bengal Tenders,West Bengal,,https://wbtenders.gov.in/nicgep/app
34,2026_ZPHD_1027744_1,"Sajaldhara Projectinfront h-o Laxmi Chowdhury at Vatapara , Sansad - XVII underBelgoria-I Gram Panchayat under 15th CFC Tied fund, during - 2025 - 26 AAP- 52 of",e1/15thCFC(TIED) / 2026-27,Zilla Parishad | Zilla Parishad | Nadia | SHANTIPUR | BELGORIA-I,2026-06-27,2026-06-25,01:04:32,West Bengal Tenders,West Bengal,,https://wbtenders.gov.in/nicgep/app
35,2026_MAD_1027034_1,NIT-05(Sl-1)2026-27 Date-08.06.2026,NIT-05/2026-27 memo no-591/PWD/BM/2026-27 Date-08.06.2026,MUNICIPAL AFFAIRS DEPARTMENT | URBAN LOCAL BODIES | BOLPUR,2026-06-27,2026-06-25,01:04:32,West Bengal Tenders,West Bengal,,https://wbtenders.gov.in/nicgep/app
36,2026_PHED_1028911_4,032/KSD of 2026-2027 s4,NIeT No-03/KSD of 2026-2027,PHE | CENTRAL CIRCLE (PHE) | BURDWAN DIVISION (PHE),2026-06-27,2026-06-25,01:04:32,West Bengal Tenders,West Bengal,,https://wbtenders.gov.in/nicgep/app
37,2026_PHED_1028911_5,032/KSD of 2026-2027 s5,NIeT No-03/KSD of 2026-2027,PHE | CENTRAL CIRCLE (PHE) | BURDWAN DIVISION (PHE),2026-06-27,2026-06-25,01:04:32,West Bengal Tenders,West Bengal,,https://wbtenders.gov.in/nicgep/app
38,2026_PHED_1028911_6,032/KSD of 2026-2027 s6,NIeT No-03/KSD of 2026-2027,PHE | CENTRAL CIRCLE (PHE) | BURDWAN DIVISION (PHE),2026-06-27,2026-06-25,01:04:32,West Bengal Tenders,West Bengal,,https://wbtenders.gov.in/nicgep/app
39,2026_PHED_1028911_7,032/KSD of 2026-2027 s6,NIeT No-03/KSD of 2026-2027,PHE | CENTRAL CIRCLE (PHE) | BURDWAN DIVISION (PHE),2026-06-27,2026-06-25,01:04:32,West Bengal Tenders,West Bengal,,https://wbtenders.gov.in/nicgep/app
40,2026_MAD_1026880_10,NIT-04(Sl-10)2026-27 Date-08.06.2026,NIT-04/2026-27 memo no-571/PWD/BM/2026-27 Date-05.06.2026,MUNICIPAL AFFAIRS DEPARTMENT | URBAN LOCAL BODIES | BOLPUR,2026-06-27,2026-06-25,01:04:32,West Bengal Tenders,West Bengal,,https://wbtenders.gov.in/nicgep/app
41,2026_DP_855954_1,Buds School Vehicle rent,SC2/5/2026,Directorate of Panchayat | Deputy Director of Panchayats Palakkad | Kizhakkanchery Grama Panchayat,2026-06-26,2026-06-25,01:04:32,Kerala eTenders,Kerala,,https://etenders.kerala.gov.in/nicgep/app
42,2026_SILK_844185_4,"Supply and Installation of 95 Nos. 30W Doom type LED Street Lights at various locations in Irimbiliyam Grama Panchayat, Malappuram District under Annual Project 2025-26, Project No.354/26",SILK/PED/S-356/2025-26/3662,Steel Industrials Kerala Ltd,2026-06-26,2026-06-25,01:04:32,Kerala eTenders,Kerala,,https://etenders.kerala.gov.in/nicgep/app
43,2026_SILK_854972_2,"Supply, Installation, Testing, and Commissioning of 4 Nos. of 6 Meter Mini Mast systems with 3 x 70W LED Flood Lights at Edayattumuri Njattuvetti Ambalam Road Ward 18, Kapparalakshamveedu Premises Ward 17, Sajeesh Nagar Ward 5 and Pullan Michabhoomi",SILK/PED/S-06/2026-27/427,Steel Industrials Kerala Ltd,2026-06-26,2026-06-25,01:04:32,Kerala eTenders,Kerala,,https://etenders.kerala.gov.in/nicgep/app
44,2026_LSGD_855486_1,Maintenance of toilet at the Grama Panchayat Office,TEN 01(308) AE/LSGD/PKML/26-27,Local Self Government Department | Thiruvananthapuram | Grama Panchayath Section office TVM | Office of the AE Pazhayakunnummel Grama Panchayath,2026-06-26,2026-06-25,01:04:32,Kerala eTenders,Kerala,,https://etenders.kerala.gov.in/nicgep/app
45,2026_PWD_856460_1,LAC-ADS-MLA ADS 2022-23(2018-19 Savings Amount) Construction of Anganwadi No. 26 in Ward No. IV of North Paravur Municipality - Electrification- Electrification of Anganavadi No. 26 in Ward No. IV of North Paravur Municipality General Electrical Work,ESDE(ET)-13/AEE/2026-27,PWD | Chief Engineer (Buildings) | SE (Electrical) | EE Elect (TSR) | AEE Electrical SD Ernakulam,2026-06-29,2026-06-25,01:04:32,Kerala eTenders,Kerala,,https://etenders.kerala.gov.in/nicgep/app
46,2026_SILK_852731_3,"Supply and Installation of 2 Nos. of 12 Mtr High Mast systems with 6 x 200W LED Flood Lights at Alappuzha District ,Chengannur LAC under MLAADS 2025-26",SILK/PED/S-378/2025-26/3777A,Steel Industrials Kerala Ltd,2026-06-26,2026-06-25,01:04:32,Kerala eTenders,Kerala,,https://etenders.kerala.gov.in/nicgep/app
47,2026_PCKL_857398_1,SALE OF CENEX,25062026,Plantation Corporation of Kerala Ltd | Sales | Rubber Latex Sale,2026-06-25,2026-06-25,01:04:32,Kerala eTenders,Kerala,,https://etenders.kerala.gov.in/nicgep/app
48,2026_KCMMF_855426_1,OPERTAION OF SIP UP MACHINE AND GENERAL ACTIVITIES,No. EU/PD/ENGG/SIPUP/2026-27/367,Kerala Co-operative Milk Marketing Federation Ltd | Ernakulam Regional Co-operative Milk Producers Union Ltd | Products Dairy Edappally Kochi,2026-06-26,2026-06-25,01:04:32,Kerala eTenders,Kerala,,https://etenders.kerala.gov.in/nicgep/app
49,2026_LSGD_856397_1,Adichanvila Manjappara-Irattachira Road Maintenance,TEN 01(88) AE/LSGD/PKML/26-27,Local Self Government Department | Thiruvananthapuram | Grama Panchayath Section office TVM | Office of the AE Pazhayakunnummel Grama Panchayath,2026-06-26,2026-06-25,01:04:32,Kerala eTenders,Kerala,,https://etenders.kerala.gov.in/nicgep/app
50,2026_DLG_169868_7,Const. of WBM road azad nagar gali no. 3 and various streets ward no. 15,ME/AME/JE/MC FUND//2026/8,Department of Local Government | Director - Local Government | ADC (UD) - Roop Nagar | Municipal Council - Roop Nagar,2026-06-25,2026-06-25,01:04:32,Punjab eProcurement,Punjab,,https://eproc.punjab.gov.in/nicgep/app
51,2026_WR_164348_14,Repair and Lining of Watercourse by Brick Masonary of Outlet RD 42200-R of Neor Minor of Village Chandbhan Distt. Bathinda.,DNIT 08/2026,Department of Water Resources | Punjab Water Resources Management and Development Corporation | DE - Lining Division No. - 8 - Bathinda,2026-06-25,2026-06-25,01:04:32,Punjab eProcurement,Punjab,,https://eproc.punjab.gov.in/nicgep/app
52,2026_WR_166538_1,Estimate for Lining of Watercourse of Outlet RD 13178/R of Barkatwah Minor by Laying of U/G pipeline of Village Dhab karyal Distt Fazilka,003/FazilkaCanal/2026-27 dated 20/04/2026,Department of Water Resources | Department of Water Resources | Canal - Fazilka Canal and Ground Water Div - Fzr,2026-06-25,2026-06-25,01:04:32,Punjab eProcurement,Punjab,,https://eproc.punjab.gov.in/nicgep/app
53,2026_WR_169558_1,Carrying/lifting of River Bed Material already extracted from Power House 2,06/2026,Department of Water Resources | Department of Water Resources | SPKD - SPK Dam Div No. 1 - Spk T/Ship,2026-06-25,2026-06-25,01:04:32,Punjab eProcurement,Punjab,,https://eproc.punjab.gov.in/nicgep/app
54,2026_WR_160062_30,Estimate for relining/lining of watercourse of outlet RD 243480/R of Sirhind Feeder,1461/25M 12-02-2026,Department of Water Resources | Department of Water Resources | Canal - Sri Muktsar Sahib Canal and GW Div At GDB,2026-06-25,2026-06-25,01:04:32,Punjab eProcurement,Punjab,,https://eproc.punjab.gov.in/nicgep/app
55,2026_WR_159296_7,Estimate for Lining/Relining of w/c of O/L 6750-TR of New Fatehpur Sub Mr. of Village Jhunir/ Makhewala District Mansa,03 of 2026,Department of Water Resources | Punjab Water Resources Management and Development Corporation | DE - Lining Division No. - 2 - Mansa,2026-06-25,2026-06-25,01:04:32,Punjab eProcurement,Punjab,,https://eproc.punjab.gov.in/nicgep/app
56,2026_WR_161504_25,Estimate for laying underground pipeline for outlet at rd-44830/R of Bhadaurke Disty,028/FazilkaCanal/2025-26 dated 20/02/2026,Department of Water Resources | Department of Water Resources | Canal - Fazilka Canal and Ground Water Div - Fzr,2026-06-25,2026-06-25,01:04:32,Punjab eProcurement,Punjab,,https://eproc.punjab.gov.in/nicgep/app
57,2026_WR_161504_27,Estimate for laying underground pipeline for outlet at rd-21450/R of Bhadaurke Disty,028/FazilkaCanal/2025-26 dated 20/02/2026,Department of Water Resources | Department of Water Resources | Canal - Fazilka Canal and Ground Water Div - Fzr,2026-06-25,2026-06-25,01:04:32,Punjab eProcurement,Punjab,,https://eproc.punjab.gov.in/nicgep/app
58,2026_WR_165186_1,Estimate for Lining/Relining of w/c of O/L RD 5884-L of Sheron Disty of Village Sheron Distt. Sangrur (Project Infrastructure List as per Farmer Demand),11 of 2026,Department of Water Resources | Punjab Water Resources Management and Development Corporation | DE - Lining Division No. - 2 - Mansa,2026-06-25,2026-06-25,01:04:32,Punjab eProcurement,Punjab,,https://eproc.punjab.gov.in/nicgep/app
59,2026_DLG_169868_10,Const Of R.C.C NP2 Pipe for Near Dr Sai Shop Ward No. 19,ME/AME/JE/MC FUND//2026/8,Department of Local Government | Director - Local Government | ADC (UD) - Roop Nagar | Municipal Council - Roop Nagar,2026-06-25,2026-06-25,01:04:32,Punjab eProcurement,Punjab,,https://eproc.punjab.gov.in/nicgep/app
60,2026_HRY_525331_3,"Purchase of Desludging Vehicle (5000 Litres Capacity) under SBM-U 2.0, MC Kharkhoda (Re-Tender)",MCKHARKHODA/2026/01,Haryana Government | Urban Local Bodies | MC Kharkhoda,2026-06-25,2026-06-25,01:04:32,Haryana eTenders,Haryana,,https://etenders.hry.nic.in/nicgep/app
61,2026_HRY_529856_1,"Estimate for providing and Laying M-25 grade RMC road and 80mm thick interlocking tiles in road side at Bharat Gas Agency/ Marriage Hall gali, MRF Tyres gali and TVS Showroom gali, Block-G, Sgm Nagar in Ward no.-17 (New Ward), Badkhal Farid.. Recall",202651D2D6A9 C7C1 4FAE 9348 5083EB504FA6284ULB,Haryana Government | Urban Local Bodies | Faridabad,2026-06-26,2026-06-25,01:04:32,Haryana eTenders,Haryana,,https://etenders.hry.nic.in/nicgep/app
62,2026_HRY_529833_1,"Provision of 03 Nos. Tube-well bore by Reverse Rotary method ring machine at Shivaji Park, A Block Park and K Block Park in Ward No.15 (New Ward), Faridabad.",2026D909C42E 1569 4126 A83F F059946901E3284ULB,Haryana Government | Urban Local Bodies | Faridabad,2026-06-25,2026-06-25,01:04:32,Haryana eTenders,Haryana,,https://etenders.hry.nic.in/nicgep/app
63,2026_HRY_529847_1,"Laying of Water supply line for connection of new tubewell line to main line near nathi singh chowk,nehru ground E - block and near bikaner mishthan bhandar ward no.13 in Badkhal Constituency MCF.",20261AFE0D45 CFD0 4ED9 857B D07AF279E5E9284ULB,Haryana Government | Urban Local Bodies | Faridabad,2026-06-25,2026-06-25,01:04:32,Haryana eTenders,Haryana,,https://etenders.hry.nic.in/nicgep/app
64,2026_HRY_529849_1,"Repair/ installation/ maintainance/ Providing and fixing of PVC pipes,IPB tiles, culvert/ Pulia/ crossing ,RCC slabs,drain type I and II or any misc. work of development in ward no 9 MC Kundli",20264A4B971F 0B01 4456 B9E4 9ECD0BDB0E9E1676ULB,Haryana Government | Urban Local Bodies | MC Kundli,2026-06-25,2026-06-25,01:04:32,Haryana eTenders,Haryana,,https://etenders.hry.nic.in/nicgep/app
65,2026_HRY_529850_1,"Hiring of Tractor Mounted Pump Set (Berma/Suction Tanker) for De-Watering of low lying area during rain in Ward No.22 (New Ward), Faridabad (2026). Recall",202618A01158 B1D2 434A 8418 6C3EA26ACC56284ULB,Haryana Government | Urban Local Bodies | Faridabad,2026-06-25,2026-06-25,01:04:32,Haryana eTenders,Haryana,,https://etenders.hry.nic.in/nicgep/app
66,2026_HRY_529860_1,"Providing and Laying 80mm thick interlocking tiles from House No. G-89 to G-268, G-58 to G-345, G-204 to G-340, G-317 to G-313, G-222 to G-390 in Block-G, Sgm Nagar in Ward no.-17 (New Ward), Badkhal Constituency, Faridabad",2026C060CD9F 29B6 4109 9A71 06A7FE4B68C6284ULB,Haryana Government | Urban Local Bodies | Faridabad,2026-06-26,2026-06-25,01:04:32,Haryana eTenders,Haryana,,https://etenders.hry.nic.in/nicgep/app
67,2026_HRY_529851_1,"Repair/ installation/ maintainance/ Providing and fixing of PVC pipes, IPB tiles, culvert/ Pulia/ crossing , RCC slabs, drain type I and II or any misc. work of development in ward no 13 MC Kundli",2026877B6BA1 54F9 4AA1 8D2B F9E7EC55D1D91676ULB,Haryana Government | Urban Local Bodies | MC Kundli,2026-06-25,2026-06-25,01:04:32,Haryana eTenders,Haryana,,https://etenders.hry.nic.in/nicgep/app
68,2026_HRY_529852_1,"Repair/ installation /maintainance/ Providing and fixing of PVC pipes, IPB tiles ,culvert/Pulia /crossing , RCC slabs, drain type I and II or any misc. work of development in ward no 10 MC Kundli",20268E765EC8 1FBC 4EF8 9C22 22520CF192B91676ULB,Haryana Government | Urban Local Bodies | MC Kundli,2026-06-25,2026-06-25,01:04:32,Haryana eTenders,Haryana,,https://etenders.hry.nic.in/nicgep/app
69,2026_HRY_529855_1,"Estimate for providing and Laying of IPB 80 mm thick M-40 grade at Ghati tala mohalla, Bichpatti Mohalla, and Raja ki dhani in Anangpur village of Ward No. 21 (new), Faridabad",2026006B09DD D1AA 4793 99B5 086A9C494908284ULB,Haryana Government | Urban Local Bodies | Faridabad,2026-06-26,2026-06-25,01:04:32,Haryana eTenders,Haryana,,https://etenders.hry.nic.in/nicgep/app
70,2026_MPFD_513858_1,tender for supply of chainlink fence in bufferzonde Dn KTR mandla,1922 dt 05-06-2026 Chainlink fence,MP Forest Department | Kanha Tiger Reserve Mandla | DD Buffer Kanha Tiger Reserve,2026-06-26,2026-06-25,01:04:32,MP Tenders,Madhya Pradesh,,https://mptenders.gov.in/nicgep/app
71,2026_MPHC_505326_1,Tender for purchase of stationery for District and Sessions Court Gwalior,3199,High Court of Madhya Pradesh | District and sessions court - Gwalior,2026-06-27,2026-06-25,01:04:32,MP Tenders,Madhya Pradesh,,https://mptenders.gov.in/nicgep/app
72,2026_MPFD_513396_1,Providing of Vehicle on Rent Basis for Office Use for DFO Office Tikamgarh,676/e-Tender/Vehicle/2026,MP Forest Department | MP Forest - Chhatarpur Circle | Division Tikamgarh,2026-06-29,2026-06-25,01:04:32,MP Tenders,Madhya Pradesh,,https://mptenders.gov.in/nicgep/app
73,2026_MPFD_513935_1,SAPPLY OF DOG AND CATTLE VACCINE IN BUFFER ZONE Dn KTR MANDLA,1924DT5-6-2026 FOR VACCINE SUPPLY,MP Forest Department | Kanha Tiger Reserve Mandla | DD Buffer Kanha Tiger Reserve,2026-06-26,2026-06-25,01:04:32,MP Tenders,Madhya Pradesh,,https://mptenders.gov.in/nicgep/app
74,2026_MPFD_515271_1,Supply of Plants,3439,MP Forest Department | MP Forest - Betul Circle | Division North Betul,2026-06-29,2026-06-25,01:04:32,MP Tenders,Madhya Pradesh,,https://mptenders.gov.in/nicgep/app
75,2026_MPPKV_512947_1,33 kv line bifurcation of 33 kv murkheda feeder from ratankhedi ss to paliya ss under paliya dc.,EE/STC/INDORE/26-27/TS-47/999,"Madhya Pradesh Paschim Kshetra Vidyut Vitran Company Ltd | ED/Chief Engineer (Indore Region) - MPPKVVCL | SE, Indore O and M Circle, Indore - MPPKVVCL | EE, Indore O and M STC Division, Indore - MPPKVVCL",2026-06-29,2026-06-25,01:04:32,MP Tenders,Madhya Pradesh,,https://mptenders.gov.in/nicgep/app
76,2026_MPPKV_512937_1,3.15 MVA PTR at Dharmat SS under at Dharmat under Chambal DC Dn Depalpur.,EE/STC/INDORE/26-27/TS-42/999,"Madhya Pradesh Paschim Kshetra Vidyut Vitran Company Ltd | ED/Chief Engineer (Indore Region) - MPPKVVCL | SE, Indore O and M Circle, Indore - MPPKVVCL | EE, Indore O and M STC Division, Indore - MPPKVVCL",2026-06-29,2026-06-25,01:04:32,MP Tenders,Madhya Pradesh,,https://mptenders.gov.in/nicgep/app
