SL No.,Tender/RFQ ID,Tender Description,Reference No.,Department,Opening Date,Closing Date,Time left (DD:HH:MM),Portal,State,Matched Keywords,URL
2630,GEM/2026/R/686297,"GEM/2026/R/686297 - CCTV Camera PTZ 25X, 5 MP,20 ft 4 inch pole for PTZ Camera with L Bracket,POE Switch 4 port Giga un",GEM/2026/R/686297,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,"PTZ Camera, Security Equipment",https://bidplus.gem.gov.in/showbidDocument/9505539
2631,GEM/2026/B/7573493,"GEM/2026/B/7573493 - Custom Bid for Services - Power Over Ethernet - Qty - 08,Custom Bid for Services - 12 Volt 2 Amp Ca",GEM/2026/B/7573493,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9366573
2632,GEM/2026/B/7661227,GEM/2026/B/7661227 - Standalone Wind Mill and Solar Panel for PTZ Camera,GEM/2026/B/7661227,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,PTZ Camera,https://bidplus.gem.gov.in/showbidDocument/9464596
2633,GEM/2026/B/7613459,"GEM/2026/B/7613459 - PTZ Camera Video Conference Camera,Wired Chairman Unit Microphone,Wired Delegate Units Microphone,D",GEM/2026/B/7613459,Ministry of Civil Aviation,,2026-06-24,00:04:32,GeM,National,PTZ Camera,https://bidplus.gem.gov.in/showbidDocument/9411517
2634,GEM/2026/B/7614415,"GEM/2026/B/7614415 - PTZ Camera 2 mp 32 into 180 mtr,Cat 6 Cable 305 Mtr,Media Convertor,Patch Cord,POE Switch,Junction ",GEM/2026/B/7614415,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,PTZ Camera,https://bidplus.gem.gov.in/showbidDocument/9412556
2635,GEM/2026/B/7596910,"GEM/2026/B/7596910 - IP Based CCTV Camera,POE Switch,Roll Out Door Cat Six Cable,RJ 45 Connector,2 Core electric Cable 2",GEM/2026/B/7596910,Ministry of Defence,,2026-06-23,Closed,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9392782
2636,GEM/2026/B/7662408,GEM/2026/B/7662408 - Training on operation of PTZ series cameras,GEM/2026/B/7662408,Ministry of Defence,,2026-06-23,Closed,GeM,National,Optical Camera,https://bidplus.gem.gov.in/showbidDocument/9465918
2637,GEM/2026/B/7662481,GEM/2026/B/7662481 - Training for maintenance and deployment of PTZ series cameras,GEM/2026/B/7662481,Ministry of Defence,,2026-06-23,Closed,GeM,National,Optical Camera,https://bidplus.gem.gov.in/showbidDocument/9466004
2638,GEM/2026/B/7627502,"GEM/2026/B/7627502 - Interactive Flat Panel Display,Digital Podium with Desktop,DSP with Audio Mixer,PowerAmplifier,Hand",GEM/2026/B/7627502,College Education Department Rajasthan,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9427053
2639,GEM/2026/B/7697575,"GEM/2026/B/7697575 - CARABINER,HHMD,CORDON LIGHT BTY,ANVD BTY CHARGER,BATTERY WATER,HAMMER 1 KG,WATER BUCKET,CAT 6 UTP C",GEM/2026/B/7697575,Ministry of Defence,,2026-07-02,08:04:32,GeM,National,NVD,https://bidplus.gem.gov.in/showbidDocument/9505536
2640,GEM/2026/B/7693197,GEM/2026/B/7693197 - REPAIR OF ANVD FOR INSAS LMG (REPLACEMENT OF 1X CABLE CONNECTOR & REPAIR OF IO EXTERNAL CABLE),GEM/2026/B/7693197,Ministry of Defence,,2026-07-01,07:04:32,GeM,National,NVD,https://bidplus.gem.gov.in/showbidDocument/9500457
2641,GEM/2026/B/7663263,"GEM/2026/B/7663263 - Catering service (Event Based) - Nonveg & Veg- Breakfast, Lunch, snaks, Tea, Dinner & night milk; B",GEM/2026/B/7663263,Ministry of Education,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9466881
2642,GEM/2026/B/7649263,"GEM/2026/B/7649263 - Dusting Cloth White,Colin Glass Cleaner,Brasso 100 ml,Broom Nariyal,Room Freshner Normal,Phenyl,Toi",GEM/2026/B/7649263,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9451306
2643,GEM/2026/R/685912,"GEM/2026/R/685912 - Frame,Propellers and Motors combo,Battery,Flight Controller,Electronic Speed Controller,Camera Day ",GEM/2026/R/685912,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9502379
